#,Symbol,Company,Weight
427,RCL,Royal Caribbean Group,0.035086
428,AAP,Advance Auto Parts Inc.,0.034987
429,MGM,MGM Resorts International,0.034799
430,LYV,Live Nation Entertainment Inc.,0.034638
431,RE,Everest Re Group Ltd.,0.034518
432,CRL,Charles River Laboratories International Inc.,0.03422
433,WDC,Western Digital Corporation,0.03411
434,PKG,Packaging Corporation of America,0.034028
435,L,Loews Corporation,0.033942
436,STX,Seagate Technology Holdings PLC,0.032988
437,GL,Globe Life Inc.,0.03292
438,CPB,Campbell Soup Company,0.032413
439,MAS,Masco Corporation,0.031936
440,BXP,Boston Properties Inc.,0.031882
441,NI,NiSource Inc,0.03164
442,NRG,NRG Energy Inc.,0.03153
443,HII,Huntington Ingalls Industries Inc.,0.031059
444,KMX,CarMax Inc.,0.03084
445,HSIC,Henry Schein Inc.,0.030581
446,PARA,Paramount Global Class B,0.030343
447,SBNY,Signature Bank,0.030196
448,CDAY,Ceridian HCM Holding Inc.,0.030123
449,JNPR,Juniper Networks Inc.,0.030021
450,TFX,Teleflex Incorporated,0.02989
451,CE,Celanese Corporation,0.029814
452,TAP,Molson Coors Beverage Company Class B,0.02922
453,EMN,Eastman Chemical Company,0.028908
454,PHM,PulteGroup Inc.,0.028579
455,CMA,Comerica Incorporated,0.0283
456,VFC,V.F. Corporation,0.028131
457,CZR,Caesars Entertainment Inc,0.028096
458,AAL,American Airlines Group Inc.,0.027879
459,MKTX,MarketAxess Holdings Inc.,0.027847
460,FOXA,Fox Corporation Class A,0.027594
461,QRVO,Qorvo Inc.,0.027394
462,ROL,Rollins Inc.,0.027209
463,REG,Regency Centers Corporation,0.027128
464,BWA,BorgWarner Inc.,0.02706
465,ALLE,Allegion Public Limited Company,0.026858
466,WRK,WestRock Company,0.026326
467,FFIV,F5 Inc.,0.02632
468,CCL,Carnival Corporation,0.026213
469,HAS,Hasbro Inc.,0.026183
470,BIO,Bio-Rad Laboratories Inc. Class A,0.026103
471,RHI,Robert Half International Inc.,0.025543
472,LNC,Lincoln National Corporation,0.024964
473,TPR,Tapestry Inc.,0.024758
474,BBWI,Bath & Body Works Inc.,0.02373
475,ZION,Zions Bancorporation N.A.,0.023603
476,FBHS,Fortune Brands Home & Security Inc.,0.02355
477,WHR,Whirlpool Corporation,0.02341
478,GNRC,Generac Holdings Inc.,0.023241
479,PNW,Pinnacle West Capital Corporation,0.023069
480,UHS,Universal Health Services Inc. Class B,0.022715
481,AIZ,Assurant Inc.,0.022626
482,SEE,Sealed Air Corporation,0.02162
483,PNR,Pentair plc,0.021353
484,IVZ,Invesco Ltd.,0.021342
485,AOS,A. O. Smith Corporation,0.021269
486,XRAY,DENTSPLY SIRONA Inc.,0.020765
487,DXC,DXC Technology Co.,0.020743
488,FRT,Federal Realty Investment Trust,0.020697
489,NWSA,News Corporation Class A,0.020599
490,NCLH,Norwegian Cruise Line Holdings Ltd.,0.020494
491,LUMN,Lumen Technologies Inc.,0.020094
492,BEN,Franklin Resources Inc.,0.019875
493,OGN,Organon & Co.,0.019839
494,WYNN,Wynn Resorts Limited,0.018619
495,NWL,Newell Brands Inc,0.018448
496,DVA,DaVita Inc.,0.017186
497,ALK,Alaska Air Group Inc.,0.016513
498,MHK,Mohawk Industries Inc.,0.015739
499,RL,Ralph Lauren Corporation Class A,0.01246
500,FOX,Fox Corporation Class B,0.012412
501,DISH,DISH Network Corporation Class A,0.011584
502,VNO,Vornado Realty Trust,0.011385
503,NWS,News Corporation Class B,0.006533
